countryname,id,year,nGDP,rGDP,rGDP_pc,rGDP_USD,deflator,exports,exports_pct_GDP,imports,imports_pct_GDP,govexp,govexp_pct_GDP,govrev,govrev_pct_GDP,govdef,govdef_pct_GDP,govdebt,govdebt_pct_GDP,infl_pct,pop,unemp_pct,M0,M1,M2,M3,SovDebtCrisis,CurrencyCrisis,BankingCrisis,nGDP_USD,imports_USD,exports_USD
United States,USA,2000,10250952,12634541,44778,14854597,81,1096111,11,1477184,14,3516023,18,3549584,35,33562,0,3410250,33,3,282,4,601900,1103600,4667600,4790525,0,0,0,10250952,1477184,1096111
United States,USA,2001,10581929,12755269,44760,14996539,83,1026812,10,1403559,13,3768843,20,3572558,34,-196285,-2,5549486,52,3,285,5,598700,1140300,4978400,5204450,0,0,0,10581929,1403559,1026812
United States,USA,2002,10929108,12972165,45101,15251547,84,997979,9,1437724,13,4015593,20,3435254,31,-580340,-5,5886628,54,2,288,6,653800,1196700,5461100,5592109,0,0,0,10929108,1437724,997979
United States,USA,2003,11456450,13334816,45965,15677921,86,1035165,9,1557120,14,4268406,21,3532824,31,-735582,-6,6444228,56,2,290,6,699300,1274042,5812300,5981700,0,0,0,11456450,1557120,1035165
United States,USA,2004,12217196,13847909,47294,16281171,88,1176363,10,1810504,15,4503250,20,3796621,31,-706629,-6,6922475,57,3,293,6,736400,1344592,6082200,6266400,0,0,0,12217196,1810504,1176363
United States,USA,2005,13039197,14330308,48492,16848334,91,1301580,10,2041483,16,4817585,21,4235672,32,-581914,-4,7372147,57,3,296,5,775200,1371950,6431000,6533967,0,0,0,13039197,2041483,1301580
United States,USA,2006,13815583,14729341,49364,17317482,94,1470170,11,2256623,16,5065366,21,4602791,33,-462576,-3,7663073,55,3,298,5,804200,1375000,6730300,6875975,0,0,0,13815583,2256623,1470170
United States,USA,2007,14474227,15024497,49877,17664500,96,1659295,11,2395228,17,5408532,21,4830215,33,-578317,-4,8056279,56,3,301,5,823000,1373008,7118500,7296700,0,0,1,14474227,2395228,1659295
United States,USA,2008,14769862,15041562,49464,17684564,98,1835281,12,2576151,17,5860289,23,4773134,32,-1087155,-7,9425339,64,4,304,6,830600,1435200,7517800,7790400,0,0,0,14769862,2576151,1835281
United States,USA,2009,14478067,14654017,47769,17228922,99,1582774,11,2001927,14,6253857,26,4354776,30,-1899080,-13,10980397,76,0,307,9,1712000,1638050,8289401,8416217,0,0,0,14478067,2001927,1582774
United States,USA,2010,15048971,15048971,48651,17693274,100,1857247,12,2389555,16,6472654,26,4606574,31,-1866079,-12,12786199,85,2,309,10,1995000,1742692,8478000,8626617,0,0,0,15048971,2389555,1857247
United States,USA,2011,15599732,15284398,49054,17970068,102,2115864,14,2695481,17,6535059,25,4822438,31,-1712621,-11,13968994,90,3,312,9,2047900,2010508,8845200,9256158,0,0,0,15599732,2695481,2115864
United States,USA,2012,16253970,15634275,49810,18381424,104,2217700,14,2769318,17,6515364,24,5018347,31,-1497017,-9,15221658,94,2,314,8,2640800,2315500,9750500,10050408,0,0,0,16253970,2769318,2217700
United States,USA,2013,16880684,15965382,50514,18770710,106,2287922,14,2766376,16,6548912,23,5565372,33,-983539,-6,16091025,95,1,316,7,2741700,2549725,10497600,10727667,0,0,0,16880684,2766376,2287922
United States,USA,2014,17608138,16368320,51410,19244450,108,2378545,14,2887445,16,6721068,23,5809933,33,-911136,-5,16807642,95,2,318,6,3728500,2815158,11117600,11389608,0,0,0,17608138,2887445,2378545
United States,USA,2015,18295020,16850456,52536,19811304,109,2270622,12,2794942,15,6910981,22,6068701,33,-842280,-5,17555134,96,0,321,5,4017100,3021900,11774200,12046342,0,0,0,18295020,2794942,2270622
United States,USA,2016,18804914,17157042,53106,20171762,110,2235558,12,2738830,15,7156461,22,6142532,33,-1013929,-5,18415386,98,1,323,5,3792700,3248917,12490800,12861700,0,0,0,18804914,2738830,2235558
United States,USA,2017,19612102,17578698,54068,20667508,112,2388260,12,2931589,15,7407367,22,6538636,33,-868730,-4,19027916,97,2,325,4,3595500,3524533,13286400,13591608,0,0,0,19612102,2931589,2388260
United States,USA,2018,20656516,18100170,55380,21280610,114,2538089,12,3131166,15,7792499,22,6529089,32,-1263410,-6,20336230,98,2,327,4,3824800,3680583,13869200,14103925,,,0,20656516,3131166,2538089
United States,USA,2019,21521396,18546708,56488,21805610,116,2538451,12,3116954,14,8237882,23,6794378,32,-1443504,-7,21528358,100,2,328,4,3346900,3845317,14432700,14817700,,,0,21521396,3116954,2538451
United States,USA,2020,21322950,18136182,54705,21322950,118,2150113,10,2776504,13,10049089,32,6896453,32,-3152636,-15,26557924,125,1,332,8,3442600,12783475,15401300,17649566,,,0,21322950,2776504,2150113
United States,USA,2021,23594030,19188120,57787,22559728,123,2550038,11,3408277,14,10569448,31,7851743,33,-2717705,-12,27947306,118,5,332,5,5248000,19364708,19335000,20509592,,,,23594030,3408277,2550038
United States,USA,2022,25744108,19559504,58689,22996370,132,2995046,12,3966165,15,10085798,24,8998068,35,-1087729,-4,29062430,113,8,333,4,6103900,20399858,21566600,21572900,,,,25744108,3966165,2995046
United States,USA,2023,27360934,20056844,59886,23581100,136,3027244,11,3825930,14,10618032,24,8500877,17,-1933871,-7,31431464,115,4,335,4,5329000,19416420,21189100,,,,,27360934,3825930,3027244
United States,USA,2024,28719942,20570894,61089,24185476,140,3128365,11,3966936,14,11172329,34,9154691,30,-1803681,-6,36025804,125,3,337,4,5843400,17845486,20760400,,,,,28719942,3966936,3128365
